roduid,lifespan,FAILURETYPE,H2S_CONCENTRATION,PrimarySetpoint,SecondarySetpoint,StrokeLength,GrossStrokeLength,Fillage,bha_configuration,max_unguided_dls,dls_high_in_hole,gas_anchor_length,MAX_INCLINATION,manual_scale,packer_vs_tac,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,rod_sinker_type,rod_has_guides,rod_make,rod_apigrade,ROUTE,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,DESANDDEGAS_TYP,NIPPLE_SET_DEPTH,pump_bore
GB53OEVX46438297645035,473.9166666666667,Tubing,0.0,80.0,62.0,168.0,173.462416520355,2.5,TAC_BELOW_NIP,1.83,1.65,17.21,2.3,N,OTHER_ANCHOR,53.560841,76.704153,88.331949,91.19827,17.359578,108.55784799999999,SINKER_BARS_W_GUIDED_SUBS,False,mesh enterprise portals,SpecialService,882,179.44,179.44,179.44,Miller LLC,10235.6,1.5
GB55VWTY71432502113740,330.9583333333333,Rods,0.0,80.0,65.0,168.0,181.89193123399602,92.5,TAC_BELOW_NIP,1.83,1.65,20.62,2.3,N,OTHER_ANCHOR,45.168991,62.374390000000005,65.847778,47.592527000000004,10.126263,57.718790000000006,SINKER_BARS_W_GUIDED_SUBS,False,mesh enterprise portals,SpecialService,882,179.24,179.24,179.24,West-Washington,10192.9,1.75
GB70BXXZ20036857761654,297.5416666666667,Tubing,0.0,75.0,60.0,144.039723971074,144.334100884906,84.7961502075195,TAC_BELOW_NIP,2.333374,1.5357350917264398,19.24,1.99,N,OTHER_ANCHOR,59.055634999999995,61.812323,77.44754,112.76848899999999,51.334405,164.102894,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,882,169.04,169.04,169.04,UNKNOWN,10058.3,1.75
GB38DGHA89339919696362,485.2083333333333,Sucker Rod Pump,3.0,80.0,60.0,144.0,114.30495381056002,80.4000015258789,TAC_BELOW_NIP,0.5,0.39,17.1,1.08,N,OTHER_ANCHOR,59.57736,71.475323,109.958678,70.081587,18.361376999999997,88.442964,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,K,884,33.48,28.09,33.48,Miller LLC,9968.6,1.75
GB21YNLH85336035798282,1435.6875,Sucker Rod Pump,0.0,75.0,60.0,144.0,122.064749551714,91.0478286743164,TAC_ABOVE_NIP,0.84,0.8,19.31,1.4,N,OTHER_ANCHOR,39.852222,69.202781,68.435459,36.360628000000005,11.126996,47.5025,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,D,900,71.9,71.9,71.9,UNKNOWN,10082.2,1.5
GB02CNFO12171711500627,444.4166666666667,Sucker Rod Pump,0.0,75.0,60.0,144.0,117.23444980382901,76.0999984741211,PACKER_DONNAN,8.217124,8.21712430078462,20.72,3.24,N,arrowset,57.106382999999994,67.92546899999999,81.578257,26.395940000000003,20.768402,47.164341,SLICK_SINKER_BARS,True,strategize next-generation users,SpecialService,885,215.53,215.53,96.04,Sanchez PLC,9729.5,1.75
GB65LFZR58466930489897,231.54097222222222,Tubing,0.0,75.0,60.0,168.019831075296,143.68661561853702,79.139289855957,TAC_BELOW_NIP,2.67,2.21,17.11,3.64,N,OTHER_ANCHOR,49.382965999999996,60.86004200000001,63.677184999999994,83.39834,70.01244799999999,153.410788,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,872,206.76,206.76,206.76,Miller LLC,9116.6,1.75
GB39LRNA46235651349692,977.2708333333334,Tubing,0.0,85.0,60.0,169.429992675781,114.680409592438,71.5534744262695,TAC_BELOW_NIP,4.821477400000001,4.28289378193736,19.26,5.25,N,OTHER_ANCHOR,64.644487,75.09863399999999,82.079516,80.460123,26.444561,106.904684,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,882,304.72,290.34,304.72,UNKNOWN,8996.1,2
GB66EUJZ82252650627225,391.8958333333333,Tubing,0.0,70.0,60.0,144.039993286132,122.44658780220199,75.19999694824209,TAC_BELOW_NIP,1.2222853999999999,0.6526816979249821,19.19,1.97,N,OTHER_ANCHOR,26.310918,28.269640999999996,175.792245,87.225962,32.478365000000004,119.704327,SLICK_SINKER_BARS,False,strategize next-generation users,D,884,117.54,75.03,117.54,UNKNOWN,9836.4,2
GB36RBOF50856696926269,342.00069444444443,Tubing,2.5,75.0,60.0,119.19000244140601,102.610239664713,19.7000007629394,TAC_BELOW_NIP,1.53888,0.7728009106429359,19.97,2.1,N,OTHER_ANCHOR,33.36,84.296341,72.659942,33.673173,24.089887,57.763059,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,SpecialService,883,74.21,64.4,74.21,West-Washington,9982.0,1.75
GB30YVGS72133450288306,255.15347222222223,Tubing,0.0,75.0,60.0,168.0,133.050032063984,76.204345703125,TAC_BELOW_NIP,1.67,1.02,17.15,2.19,N,OTHER_ANCHOR,58.98246999999999,68.986304,73.528391,68.20229,55.946565,124.14885500000001,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,872,119.73,119.73,119.73,Miller LLC,9952.1,1.75
GB25GAEC69622452874608,59.60915900462963,Sucker Rod Pump,0.0,70.0,0.0,144.0,69.56,0.0,TAC_BELOW_NIP,2.22,2.22,19.24,3.8,N,OTHER_ANCHOR,55.1706,59.0998,85.972093,29.885,53.483000000000004,83.368,UNKNOWN,False,mesh enterprise portals,D,882,210.78,210.78,210.78,Miller LLC,10123.2,1.5
GB68FYKF57183710753894,470.4270833333333,Rods,0.0,75.0,60.0,169.429992675781,139.218214102496,96.3571472167968,TAC_ABOVE_NIP,2.46,2.46,17.1,10.41,N,OTHER_ANCHOR,73.44894000000001,115.802396,94.162375,119.611227,120.781705,240.392931,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,904,305.94,305.94,305.94,Miller LLC,9852.0,2
GB94CJSN57007455990999,151.53125,Tubing,0.0,75.0,60.0,168.0,156.738703338193,86.2642822265625,TAC_BELOW_NIP,0.0,0.0,17.15,0.0,Y,OTHER_ANCHOR,56.490724,78.61846899999999,68.960993,58.313725,72.150327,130.464052,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,872,371.58,371.58,371.58,Miller LLC,9580.3,2
GB79XPKR96352618724734,1197.6458333333333,Tubing,0.0,75.0,60.0,168.0,146.261226726945,80.5999984741211,TAC_ABOVE_NIP,1.4634147,1.46341463414619,19.28,1.4,N,OTHER_ANCHOR,64.41976899999999,69.380493,79.131816,41.342607,8.944842999999999,50.28745,SINKER_BARS_W_GUIDED_SUBS,False,mesh enterprise portals,SpecialService,881,113.09,113.09,113.09,Miller LLC,10314.3,1.5
GB16FYSG82646675864140,189.91666666666666,Tubing,0.0,75.0,60.0,144.038940831234,125.08543917338001,95.713638305664,TAC_BELOW_NIP,1.96,1.96,17.11,2.96,N,OTHER_ANCHOR,60.078497,71.165408,191.12,88.815,36.44,125.255,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,886,181.59,181.59,181.59,Miller LLC,9609.2,1.5
GB74BZQL90482085875049,533.34375,Rods,0.0,75.0,60.0,169.429992675781,131.673094036198,89.1185150146484,TAC_BELOW_NIP,2.626819,2.94694048785878,17.14,17.61,N,OTHER_ANCHOR,88.913251,124.093829,174.090938,133.718808,45.469274,179.188082,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,883,481.36,435.39,203.84,Miller LLC,9504.0,1.75
GB17BMCM05934979723869,296.1666666666667,Tubing,0.0,75.0,60.0,144.039993286132,121.67737325032499,78.79090881347649,TAC_BELOW_NIP,2.333374,1.5357350917264398,17.05,1.99,N,OTHER_ANCHOR,64.73106899999999,74.797799,106.783679,93.084639,65.043887,158.128527,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,882,190.96,190.96,190.96,Miller LLC,9027.0,1.75
GB20LNQS40325205853038,263.6875,Rods,0.0,75.0,60.0,144.0,148.005154280229,0.100000001490116,TAC_BELOW_NIP,1.3075753,3.4608001184529003,17.15,14.37,N,OTHER_ANCHOR,62.63040600000001,70.798141,70.22014899999999,56.81125,15.327243,72.13849300000001,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,883,354.68,354.68,92.88,Miller LLC,10077.0,1.75
GB42EAWZ99652567036750,367.1458333333333,Tubing,0.0,75.0,60.0,144.199996948242,137.668787816187,82.3960037231445,TAC_BELOW_NIP,1.78,0.54,17.25,1.87,Y,OTHER_ANCHOR,50.362689,59.88560699999999,32.423808,35.120321000000004,15.243316,50.363636,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,884,146.31,102.15,146.31,Miller LLC,10068.0,1.75
GB57BCZK45472468406068,565.96875,Tubing,1.0,75.0,60.0,168.02000427246,122.382403429816,66.90000152587889,TAC_BELOW_NIP,1.5,1.5,17.22,3.0,N,OTHER_ANCHOR,62.812793000000006,69.036806,103.052472,75.90395500000001,50.343573,126.247528,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,872,1327.95,1327.95,1327.95,UNKNOWN,8984.4,2
GB93KQUP01311819053238,406.375,Tubing,0.0,75.0,60.0,168.02000427246,161.05104801204598,83.73636627197259,TAC_BELOW_NIP,1.8341467,2.1951213012829,17.18,1.76,N,OTHER_ANCHOR,73.962941,86.527079,84.15211500000001,172.87233999999998,44.661702000000005,217.53404300000003,UNKNOWN,True,mesh enterprise portals,SpecialService,882,238.12,238.12,238.12,Miller LLC,9936.4,1.75
GB72SUGF11357945947604,433.125,Tubing,0.0,75.0,60.0,144.039993286132,113.557138748345,70.8043441772461,TAC_BELOW_NIP,2.2633482999999996,2.26334833173657,17.15,1.89,N,OTHER_ANCHOR,56.053438,76.428623,119.86651599999999,95.831839,23.201794,119.03363200000001,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,SpecialService,875,226.0,226.0,226.0,Miller LLC,9527.8,1.75
GB75JVAC57162385373198,277.4583333333333,Tubing,0.0,75.0,60.0,168.039993286132,179.12779744466098,99.25,TAC_ABOVE_NIP,2.38,2.38,17.18,5.01,N,OTHER_ANCHOR,71.93170699999999,129.817388,194.665704,180.896907,234.250859,415.147766,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,904,336.53,336.53,336.53,UNKNOWN,10018.4,1.75
GB84HGPB34554890095821,526.1041666666666,Sucker Rod Pump,0.0,75.0,60.0,144.039993286132,119.59191839791201,83.9000015258789,TAC_ABOVE_NIP,0.97292626,0.762787862241621,21.25,1.93,N,OTHER_ANCHOR,45.917539,63.110438,72.695498,52.058518,16.640075,68.698593,SUCKER_RODS_W_GUIDES,False,strategize next-generation users,SpecialService,905,49.52,49.52,49.52,UNKNOWN,10510.3,1.5
GB54QJWM44310734993008,176.0625,Tubing,0.0,75.0,65.0,169.429822228171,157.644446808157,89.40454864501949,TAC_BELOW_NIP,6.05,2.89,16.1,12.42,Y,OTHER_ANCHOR,70.803911,87.029257,112.294545,93.50838,44.52514,138.03351999999998,SINKER_BARS_W_GUIDED_SUBS,True,mesh enterprise portals,SpecialService,873,313.27,313.27,255.97,Miller LLC,9745.9,1.75
GB31LKUJ39252542630071,1089.5,Sucker Rod Pump,0.0,75.0,60.0,144.0,110.298676725293,82.41874694824209,TAC_ABOVE_NIP,1.3453363,0.36632418665479705,17.14,3.99,N,OTHER_ANCHOR,62.801058,69.45223,98.716806,63.642354000000005,21.070173999999998,84.712528,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,875,483.85,483.85,483.85,UNKNOWN,9990.5,1.75
GB35MQGY41102182717323,497.3854166666667,Tubing,0.0,70.0,65.0,168.259994506835,142.019042835291,95.4771423339843,PACKER_DONNAN,2.7122604999999997,2.70180068166297,20.7,34.96,N,arrowset,60.831886,89.080663,61.095509,38.689658,43.610937,82.300595,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,905,337.93,337.93,161.03,Miller LLC,12002.3,1.5
GB89WBRP08166501960879,472.8125,Sucker Rod Pump,0.0,60.0,60.0,144.0,133.014912046869,75.19999694824209,TAC_BELOW_NIP,1.584267,1.43899089092015,0.0,2.41,Y,OTHER_ANCHOR,56.004523,78.075572,124.369398,52.185759999999995,23.4911,75.67685999999999,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,151.99,143.67,143.67,UNKNOWN,9934.4,2
GB52ONAJ09087736746488,143.66666666666666,Rods,0.0,80.0,60.0,144.039993286132,111.68834159487699,87.76956176757808,PACKER_DONNAN,1.56,1.56,20.7,1.87,N,arrowset,36.178767,88.331586,90.664861,73.650685,38.69863,112.34931499999999,SINKER_BARS_W_GUIDED_SUBS,False,strategize next-generation users,SpecialService,905,86.48,86.48,86.48,Miller LLC,10529.4,1.5
GB33IFQL67928383832783,873.5,Tubing,0.0,75.0,60.0,144.0,130.628427426677,97.625,TAC_ABOVE_NIP,2.4450862,2.44508631592807,0.0,8.64,N,OTHER_ANCHOR,70.864566,126.782505,116.498888,103.30614399999999,71.620763,174.926907,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,901,269.81,269.81,269.81,Bender-King,10458.6,1.75
GB62TOJR53348654517762,445.0208333333333,Tubing,0.0,70.0,50.0,144.039993286132,102.361837933172,0.0,TAC_BELOW_NIP,0.72750956,0.0,19.22,0.54,N,OTHER_ANCHOR,36.753126,81.49696800000001,111.627445,76.122538,27.577681,103.70021899999999,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,294.65,294.65,80.87,UNKNOWN,9846.3,2
GB56XPPP89467535626334,295.5833333333333,Sucker Rod Pump,0.0,50.0,60.0,144.039993286132,83.0359082646889,32.7000007629394,TAC_BELOW_NIP,2.7194386,2.71943847115108,17.15,1.16,Y,OTHER_ANCHOR,45.578632,66.394789,41.558578000000004,13.115385,8.875,21.990385,SLICK_SINKER_BARS,True,strategize next-generation users,K,874,55.29,52.61,55.29,UNKNOWN,9555.7,1.75
GB02UGGG18761307229140,257.75,Tubing,0.0,75.0,60.0,144.039993286132,114.677345424503,91.69999694824209,PACKER_DONNAN,2.71,3.59,20.72,5.69,Y,arrowset,46.743415,109.704167,101.375738,148.403846,26.623077000000002,175.026923,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,886,271.2,271.2,145.29,Miller LLC,9620.9,1.75
GB22IEXM12168760814037,492.4791666666667,Tubing,25.0,75.0,65.0,168.02000427246,149.520069413332,98.0999984741211,TAC_BELOW_NIP,2.71,2.61,17.12,10.81,N,OTHER_ANCHOR,79.878635,123.02709899999999,123.99019299999999,147.922885,126.33346200000001,274.256346,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,SpecialService,903,292.85,292.85,292.85,Miller LLC,9290.0,2
GB82TKAO99066176402190,546.6875,Tubing,0.0,80.0,60.0,144.0,120.946429189046,87.0875015258789,TAC_ABOVE_NIP,2.6328504,0.669734300285687,17.17,3.02,N,OTHER_ANCHOR,65.831076,80.24790899999999,118.386073,59.864912,21.480701999999997,81.345614,SLICK_SINKER_BARS,False,strategize next-generation users,D,885,123.13,65.62,123.13,Miller LLC,10001.6,1.5
GB55LOOW95972530230015,269.8125,Sucker Rod Pump,0.0,80.0,60.0,169.820007324218,164.03726530255,66.59999847412111,TAC_BELOW_NIP,1.88,1.88,17.15,5.89,N,OTHER_ANCHOR,53.21148,67.370295,34.686623,33.586645000000004,20.656156,54.242801,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,872,210.71,210.71,210.71,Miller LLC,9787.2,1.75
GB51WHEI11294833857172,837.4166666666666,Rods,0.0,75.0,60.0,144.0,134.646655906464,98.118179321289,TAC_ABOVE_NIP,2.66,2.66,0.0,5.74,N,OTHER_ANCHOR,76.532742,102.443685,101.501231,66.960483,40.479693,107.440176,SLICK_SINKER_BARS,False,strategize next-generation users,SpecialService,902,260.49,260.49,260.49,UNKNOWN,10281.6,1.5
GB27CSIZ50979493405928,235.04166666666666,Tubing,2.3333,80.0,65.0,169.429992675781,137.070703080121,80.0,PACKER_DONNAN,1.1099961,1.10999603559283,20.72,1.46,N,arrowset,53.246449,89.222686,85.15553299999999,80.325592,71.99902,152.324612,SUCKER_RODS_W_GUIDES,False,mesh enterprise portals,SpecialService,886,122.88,122.88,122.88,Miller LLC,8888.4,Other
GB02OPTG35414097417249,100.02083333333333,Tubing,0.0,80.0,65.0,144.0,83.8976427224966,0.0,TAC_BELOW_NIP,1.0097401,0.458541680285631,31.9,2.08,N,slimline,27.6826,42.483837,43.738295,34.6942,13.0961,47.7903,SLICK_SINKER_BARS,False,strategize next-generation users,K,874,60.44,38.52,60.44,Miller LLC,8703.6,1.5
